"date","loc"
"2014-01-01T00:00:00.000Z",0
"2014-02-01T00:00:00.000Z",492
"2014-03-01T00:00:00.000Z",978
"2014-04-01T00:00:00.000Z",4673
"2014-05-01T00:00:00.000Z",6681
"2014-06-01T00:00:00.000Z",9851
"2014-07-01T00:00:00.000Z",8613
"2014-08-01T00:00:00.000Z",8247
"2014-09-01T00:00:00.000Z",11608
"2014-10-01T00:00:00.000Z",11553
"2014-11-01T00:00:00.000Z",28781
"2014-12-01T00:00:00.000Z",30149
"2015-01-01T00:00:00.000Z",30203
"2015-02-01T00:00:00.000Z",483
"2015-03-01T00:00:00.000Z",258437
"2015-04-01T00:00:00.000Z",273245
"2015-05-01T00:00:00.000Z",279082
"2015-06-01T00:00:00.000Z",443971
"2015-07-01T00:00:00.000Z",264121
"2015-08-01T00:00:00.000Z",265974
"2015-09-01T00:00:00.000Z",267454
"2015-10-01T00:00:00.000Z",268343
"2015-11-01T00:00:00.000Z",282451
"2015-12-01T00:00:00.000Z",286238
"2016-01-01T00:00:00.000Z",290095
"2016-02-01T00:00:00.000Z",285365
"2016-03-01T00:00:00.000Z",420367
"2016-04-01T00:00:00.000Z",432419
"2016-05-01T00:00:00.000Z",439026
"2016-06-01T00:00:00.000Z",440326
"2016-07-01T00:00:00.000Z",441884
"2016-08-01T00:00:00.000Z",441072
"2016-09-01T00:00:00.000Z",412437
"2016-10-01T00:00:00.000Z",418644
"2016-11-01T00:00:00.000Z",416562
"2016-12-01T00:00:00.000Z",435710
"2017-01-01T00:00:00.000Z",436759
"2017-02-01T00:00:00.000Z",449711
"2017-03-01T00:00:00.000Z",473337
"2017-04-01T00:00:00.000Z",480239
"2017-05-01T00:00:00.000Z",507626
"2017-06-01T00:00:00.000Z",510718
"2017-07-01T00:00:00.000Z",512371
"2017-08-01T00:00:00.000Z",512643
"2017-09-01T00:00:00.000Z",524701
"2017-10-01T00:00:00.000Z",530097
"2017-11-01T00:00:00.000Z",530727
"2017-12-01T00:00:00.000Z",556265
"2018-01-01T00:00:00.000Z",669978
"2018-02-01T00:00:00.000Z",674015
"2018-03-01T00:00:00.000Z",678512
"2018-04-01T00:00:00.000Z",681262
"2018-05-01T00:00:00.000Z",684146
"2018-06-01T00:00:00.000Z",684436
"2018-07-01T00:00:00.000Z",711749
"2018-08-01T00:00:00.000Z",736286
"2018-09-01T00:00:00.000Z",738630
"2018-10-01T00:00:00.000Z",739718
"2018-11-01T00:00:00.000Z",731374
"2018-12-01T00:00:00.000Z",733371
"2019-01-01T00:00:00.000Z",734161
"2019-02-01T00:00:00.000Z",743279
"2019-03-01T00:00:00.000Z",807635
"2019-04-01T00:00:00.000Z",809991
"2019-05-01T00:00:00.000Z",813109
"2019-06-01T00:00:00.000Z",818699
"2019-07-01T00:00:00.000Z",777089
"2019-08-01T00:00:00.000Z",791174
"2019-09-01T00:00:00.000Z",940389
"2019-10-01T00:00:00.000Z",947818
"2019-11-01T00:00:00.000Z",948697
"2019-12-01T00:00:00.000Z",281423
"2020-01-01T00:00:00.000Z",281908
"2020-02-01T00:00:00.000Z",282039
"2020-03-01T00:00:00.000Z",283496
"2020-04-01T00:00:00.000Z",285767
"2020-05-01T00:00:00.000Z",289168
"2020-06-01T00:00:00.000Z",290431
"2020-07-01T00:00:00.000Z",296100
"2020-08-01T00:00:00.000Z",296894
"2020-09-01T00:00:00.000Z",297297
"2020-10-01T00:00:00.000Z",295587
"2020-11-01T00:00:00.000Z",296659
"2020-12-01T00:00:00.000Z",297321
"2021-01-01T00:00:00.000Z",300892
"2021-02-01T00:00:00.000Z",298917
"2021-03-01T00:00:00.000Z",301186
"2021-04-01T00:00:00.000Z",301816
"2021-05-01T00:00:00.000Z",303746
"2021-06-01T00:00:00.000Z",304613
"2021-07-01T00:00:00.000Z",305931
"2021-08-01T00:00:00.000Z",306017
"2021-09-01T00:00:00.000Z",306424
"2021-10-01T00:00:00.000Z",309232
"2021-11-01T00:00:00.000Z",309302
"2021-12-01T00:00:00.000Z",313377
"2022-01-01T00:00:00.000Z",313639
"2022-02-01T00:00:00.000Z",314115
"2022-03-01T00:00:00.000Z",315222
