"date","loc"
"2014-02-01T00:00:00.000Z",397
"2014-03-01T00:00:00.000Z",953
"2014-04-01T00:00:00.000Z",1528
"2014-05-01T00:00:00.000Z",1717
"2014-06-01T00:00:00.000Z",1229
"2014-07-01T00:00:00.000Z",1289
"2014-08-01T00:00:00.000Z",1349
"2014-09-01T00:00:00.000Z",1706
"2014-10-01T00:00:00.000Z",1734
"2014-11-01T00:00:00.000Z",1381
"2014-12-01T00:00:00.000Z",5705
"2015-01-01T00:00:00.000Z",7041
"2015-02-01T00:00:00.000Z",9053
"2015-03-01T00:00:00.000Z",12923
"2015-04-01T00:00:00.000Z",15993
"2015-05-01T00:00:00.000Z",9814
"2015-06-01T00:00:00.000Z",10470
"2015-07-01T00:00:00.000Z",11853
"2015-08-01T00:00:00.000Z",12569
"2015-09-01T00:00:00.000Z",14653
"2015-10-01T00:00:00.000Z",15444
"2015-11-01T00:00:00.000Z",17482
"2015-12-01T00:00:00.000Z",17887
"2016-01-01T00:00:00.000Z",18576
"2016-02-01T00:00:00.000Z",19064
"2016-03-01T00:00:00.000Z",19148
"2016-04-01T00:00:00.000Z",24670
"2016-05-01T00:00:00.000Z",25290
"2016-06-01T00:00:00.000Z",25790
"2016-07-01T00:00:00.000Z",25917
"2016-08-01T00:00:00.000Z",25917
"2016-09-01T00:00:00.000Z",29837
"2016-10-01T00:00:00.000Z",30525
"2016-11-01T00:00:00.000Z",30395
"2016-12-01T00:00:00.000Z",31339
"2017-01-01T00:00:00.000Z",31682
"2017-02-01T00:00:00.000Z",32689
"2017-03-01T00:00:00.000Z",33078
"2017-04-01T00:00:00.000Z",33872
"2017-05-01T00:00:00.000Z",35118
"2017-06-01T00:00:00.000Z",35965
"2017-07-01T00:00:00.000Z",35823
"2017-08-01T00:00:00.000Z",36101
"2017-09-01T00:00:00.000Z",37964
"2017-10-01T00:00:00.000Z",39005
"2017-11-01T00:00:00.000Z",39197
"2017-12-01T00:00:00.000Z",40018
"2018-01-01T00:00:00.000Z",40875
"2018-02-01T00:00:00.000Z",41220
"2018-03-01T00:00:00.000Z",42888
"2018-04-01T00:00:00.000Z",43505
"2018-05-01T00:00:00.000Z",44649
"2018-06-01T00:00:00.000Z",46014
"2018-07-01T00:00:00.000Z",45978
"2018-08-01T00:00:00.000Z",45948
"2018-09-01T00:00:00.000Z",46317
"2018-10-01T00:00:00.000Z",46789
"2018-11-01T00:00:00.000Z",48023
"2018-12-01T00:00:00.000Z",48982
"2019-01-01T00:00:00.000Z",50598
"2019-02-01T00:00:00.000Z",51350
"2019-03-01T00:00:00.000Z",52739
"2019-04-01T00:00:00.000Z",54585
"2019-05-01T00:00:00.000Z",56822
"2019-06-01T00:00:00.000Z",60865
"2019-07-01T00:00:00.000Z",63107
"2019-08-01T00:00:00.000Z",64621
"2019-09-01T00:00:00.000Z",65627
"2019-10-01T00:00:00.000Z",66651
"2019-11-01T00:00:00.000Z",66781
"2019-12-01T00:00:00.000Z",68554
"2020-01-01T00:00:00.000Z",70450
"2020-02-01T00:00:00.000Z",71505
"2020-03-01T00:00:00.000Z",74763
"2020-04-01T00:00:00.000Z",78016
"2020-05-01T00:00:00.000Z",80359
"2020-06-01T00:00:00.000Z",83087
"2020-07-01T00:00:00.000Z",83838
"2020-08-01T00:00:00.000Z",85417
"2020-09-01T00:00:00.000Z",86369
"2020-10-01T00:00:00.000Z",88939
"2020-11-01T00:00:00.000Z",90388
"2020-12-01T00:00:00.000Z",90087
"2021-01-01T00:00:00.000Z",92018
"2021-02-01T00:00:00.000Z",92935
"2021-03-01T00:00:00.000Z",93981
"2021-04-01T00:00:00.000Z",95037
"2021-05-01T00:00:00.000Z",95916
"2021-06-01T00:00:00.000Z",96396
"2021-07-01T00:00:00.000Z",96934
"2021-08-01T00:00:00.000Z",98444
"2021-09-01T00:00:00.000Z",99226
"2021-10-01T00:00:00.000Z",101882
"2021-11-01T00:00:00.000Z",103449
"2021-12-01T00:00:00.000Z",103519
"2022-01-01T00:00:00.000Z",104273
"2022-02-01T00:00:00.000Z",104508
"2022-03-01T00:00:00.000Z",104987
